"Story","Title","Result","Date","Stability","Duration (s)"
"Lookup a definition","Looking up the definition of 'apple'","SUCCESS","2018-08-28T16:26:13.165+05:30[Asia/Kolkata]","0.0","12.58"
"Lookup a definition","Looking up the definition of 'pear'","SUCCESS","2018-08-28T16:26:25.874+05:30[Asia/Kolkata]","0.0","9.68"
